study_accession	experiment_accession	experiment_title	sample_taxon_id	sample_scientific_name	experiment_library_strategy	experiment_library_source	experiment_library_selection	sample_accession	sample_alias	experiment_instrument_model	pool_member_spots	run_1_size	run_1_accession	run_1_total_spots	run_1_total_bases
SRP187390	SRX5459274	WGS of Xanthomonas oryzae pv. oryzae PXO48: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433171	Xanthomonas oryzae pv. oryzae PXO48	Ion Torrent PGM	1993925	267682275	SRR8662594	1993925	343874265
SRP187390	SRX5459273	WGS of Xanthomonas oryzae pv. oryzae PXO344: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433170	Xanthomonas oryzae pv. oryzae PXO344	Ion Torrent PGM	2123761	267069966	SRR8662595	2123761	341747245
SRP187390	SRX5459272	WGS of Xanthomonas oryzae pv. oryzae PXO603: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433169	Xanthomonas oryzae pv. oryzae PXO603	Ion Torrent PGM	1662327	204298881	SRR8662596	1662327	262340862
SRP187390	SRX5459271	WGS of Xanthomonas oryzae pv. oryzae PXO346: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433168	Xanthomonas oryzae pv. oryzae PXO346	Ion Torrent PGM	2200056	279044703	SRR8662597	2200056	357494165
SRP187390	SRX5459270	WGS of Xanthomonas oryzae pv. oryzae PXO155: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433167	Xanthomonas oryzae pv. oryzae PXO155	Ion Torrent PGM	1949244	247028422	SRR8662598	1949244	316355489
SRP187390	SRX5459269	WGS of Xanthomonas oryzae pv. oryzae PXO224: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433166	Xanthomonas oryzae pv. oryzae PXO224	Ion Torrent PGM	2282817	307454586	SRR8662599	2282817	395724752
SRP187390	SRX5459268	WGS of Xanthomonas oryzae pv. oryzae PXO114: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433165	Xanthomonas oryzae pv. oryzae PXO114	Ion Torrent PGM	1425653	175634734	SRR8662600	1425653	225471894
SRP187390	SRX5459267	WGS of Xanthomonas oryzae pv. oryzae PXO554: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433164	Xanthomonas oryzae pv. oryzae PXO554	Ion Torrent PGM	2103164	271488078	SRR8662601	2103164	347030377
SRP187390	SRX5459266	WGS of Xanthomonas oryzae pv. oryzae PXO426: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433163	Xanthomonas oryzae pv. oryzae PXO426	Ion Torrent PGM	1811891	231613671	SRR8662602	1811891	296086999
SRP187390	SRX5459265	WGS of Xanthomonas oryzae pv. oryzae PXO341: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433162	Xanthomonas oryzae pv. oryzae PXO341	Ion Torrent PGM	1914227	241003067	SRR8662603	1914227	307120545
SRP187390	SRX5459264	WGS of Xanthomonas oryzae pv. oryzae PXO552: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433161	Xanthomonas oryzae pv. oryzae PXO552	Ion Torrent PGM	2006139	250454030	SRR8662604	2006139	320437955
SRP187390	SRX5459263	WGS of Xanthomonas oryzae pv. oryzae PXO444: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433160	Xanthomonas oryzae pv. oryzae PXO444	Ion Torrent PGM	1989175	245624634	SRR8662605	1989175	314211658
SRP187390	SRX5459262	WGS of Xanthomonas oryzae pv. oryzae PXO156: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433159	Xanthomonas oryzae pv. oryzae PXO156	Ion Torrent PGM	1756599	225297284	SRR8662606	1756599	288565405
SRP187390	SRX5459261	WGS of Xanthomonas oryzae pv. oryzae PXO339: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433158	Xanthomonas oryzae pv. oryzae PXO339	Ion Torrent PGM	1932768	246818077	SRR8662607	1932768	316545132
SRP187390	SRX5459260	WGS of Xanthomonas oryzae pv. oryzae PXO349: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433157	Xanthomonas oryzae pv. oryzae PXO349	Ion Torrent PGM	2120141	268658501	SRR8662608	2120141	344045586
SRP187390	SRX5459259	WGS of Xanthomonas oryzae pv. oryzae PXO593: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433156	Xanthomonas oryzae pv. oryzae PXO593	Ion Torrent PGM	1906453	242111867	SRR8662609	1906453	310488277
SRP187390	SRX5459258	WGS of Xanthomonas oryzae pv. oryzae PXO367: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433155	Xanthomonas oryzae pv. oryzae PXO367	Ion Torrent PGM	1919921	248627800	SRR8662610	1919921	318389250
SRP187390	SRX5459257	WGS of Xanthomonas oryzae pv. oryzae PXO350: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433154	Xanthomonas oryzae pv. oryzae PXO350	Ion Torrent PGM	1802455	229566952	SRR8662611	1802455	293298894
SRP181564	SRX5282213	Whole Genome Sequencing of Xanthomonas oryzae pv oryzae	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4281963	PbXo-10	PacBio RS II	72582	395312646	SRR8476685	72582	571501579
SRP181564	SRX5282212	Whole Genome Sequencing of Xanthomonas oryzae pv oryzae	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4281964	PbXo-9	PacBio RS II	87272	616675998	SRR8476686	87272	899571357
SRP181564	SRX5282211	Whole Genome Sequencing of Xanthomonas oryzae pv oryzae	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4281962	PbXo-4	PacBio RS II	95817	524294847	SRR8476687	95817	757868358
SRP181564	SRX5282210	Whole Genome Sequencing of Xanthomonas oryzae pv oryzae	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4281961	PbXo-3	PacBio RS II	116084	605488030	SRR8476688	116084	875045086
SRP181564	SRX5282209	Whole Genome Sequencing of Xanthomonas oryzae pv oryzae	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4281960	PbXo-2	PacBio RS II	87983	567255548	SRR8476689	87983	827161864
SRP181564	SRX5282208	Whole Genome Sequencing of Xanthomonas oryzae pv oryzae:	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4281959	PbXo-1	PacBio RS II	86354	556853182	SRR8476690	86354	822952770
SRP181564	SRX5282207	Whole Genome Sequencing of Xanthomonas oryzae pv oryzae	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4281957	PbXo-8	PacBio RS II	75424	542094231	SRR8476691	75424	797923170
SRP181564	SRX5282206	Whole Genome Sequencing of Xanthomonas oryzae pv oryzae	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4281956	PbXo-7	PacBio RS II	58538	419569459	SRR8476692	58538	615167344
SRP181564	SRX5282205	Whole Genome Sequencing of Xanthomonas oryzae pv oryzae	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4281958	PbXo-6	PacBio RS II	48069	171983045	SRR8476693	48069	248342356
SRP181564	SRX5282204	Whole Genome Sequencing of Xanthomonas oryzae pv oryzae	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4281955	PbXo-5	PacBio RS II	88981	609232792	SRR8476694	88981	893071923
SRP161976	SRX4707094	sRNA-seq of Xanthomonas PXO99A	360094	Xanthomonas oryzae pv. oryzae PXO99A	RNA-Seq	TRANSCRIPTOMIC	RANDOM	SRS3792814	1	Illumina HiSeq 2500	14658533	1549810246	SRR7867914	14658533	2931706600
SRP131236	SRX3598900	WGS of Xoo: rice blight disease	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	size fractionation	SRS2863163	XF89b	Illumina Genome Analyzer IIx	31638661	2628825751	SRR6510602	31638661	4473840404
SRP131236	SRX3598899	WGS of Xoo: rice blight disease	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	size fractionation	SRS2863163	XF89b	Illumina MiSeq	4754572	1419358995	SRR6510603	4754572	2386795144
SRP131236	SRX3598898	WGS of Xoo: rice blight disease	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	size fractionation	SRS2863163	XF89b	454 GS FLX Titanium	603577	1567504655	SRR6510604	603577	605537620
SRP127381	SRX3504286	SMRT (PacBio) reads from the Xanthomonas oryzae pv. oryzae strain MAI1	64187	Xanthomonas oryzae pv. oryzae	WGA	GENOMIC	RANDOM	SRS2781840	SMRT_XooMAI1	PacBio RS II	163482	7347698014	SRR6411265	163482	2107285642
SRP127381	SRX3504285	SMRT (PacBio) reads from the Xanthomonas oryzae pv. oryzae strain BAI3	64187	Xanthomonas oryzae pv. oryzae	WGA	GENOMIC	RANDOM	SRS2781839	SMRT_XooBAI3	PacBio RS II	163482	9015086213	SRR6411266	163482	2644242997
SRP116598	SRX3146428	Genome sequencing of Xanthomonas oryzae pv. Oryzae strain SK2-3	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	size fractionation	SRS2478383	SK2-3	PacBio RS II	163482	8919186407	SRR5990719	163482	2545626880
SRP116598	SRX3146427	Genome sequencing of Xanthomonas oryzae pv. Oryzae strain SK2-3	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	size fractionation	SRS2478383	SK2-3	PacBio RS II	163482	510047489	SRR5990720	163482	107818025
SRP116598	SRX3146426	Genome sequencing of Xanthomonas oryzae pv. Oryzae strain SK2-3	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	size fractionation	SRS2478383	SK2-3	PacBio RS II	163482	4220257425	SRR5990721	163482	1138242883
SRP116551	SRX3144907	WGS of Xanthomonas oryzae pv. oryzae strain IX-280	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	size fractionation	SRS2477181	IX-280	PacBio RS II	163482	7946872413	SRR5989134	163482	2291174218
SRP104069	SRX2874870	sequencing of a Xanthomonas strain	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	PCR	SRS2244947	PXO61_t4	Illumina HiSeq 2500	1	1301206	SRR5635112	1	4980838
SRP104069	SRX2874869	sequencing of a Xanthomonas strain	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	PCR	SRS2244948	PXO61_t5	Illumina HiSeq 2500	1	1304517	SRR5635113	1	4994045
SRP101530	SRX2619208	WGS of Xoo: rice blight disease	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	size fractionation	SRS2029325	XM9	PacBio RS II	3197005	5219418444	SRR5319797	3197005	20653524306
SRP092896	SRX2336347	GSM2386099: Xoo KACC10331, in vitro, rep3; Xanthomonas oryzae pv. oryzae KACC 10331; RNA-Seq	291331	Xanthomonas oryzae pv. oryzae KACC 10331	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS1789829	GSM2386099	Illumina HiSeq 2000	19208178	1632999079	SRR5004509	19208178	4840460856
SRP092896	SRX2336346	GSM2386098: Xoo KACC10331, in vitro, rep2; Xanthomonas oryzae pv. oryzae KACC 10331; RNA-Seq	291331	Xanthomonas oryzae pv. oryzae KACC 10331	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS1789828	GSM2386098	Illumina HiSeq 2000	22671210	2078242541	SRR5004508	22671210	5713144920
SRP092896	SRX2336345	GSM2386097: Xoo KACC10331, in vitro, rep1; Xanthomonas oryzae pv. oryzae KACC 10331; RNA-Seq	291331	Xanthomonas oryzae pv. oryzae KACC 10331	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS1789827	GSM2386097	Illumina HiSeq 2000	29295580	2678244322	SRR5004507	29295580	7382486160
SRP092896	SRX2336344	GSM2386096: Xoo KACC10331, in planta, rep3; Xanthomonas oryzae pv. oryzae KACC 10331; RNA-Seq	291331	Xanthomonas oryzae pv. oryzae KACC 10331	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS1789826	GSM2386096	Illumina HiSeq 2000	17833318	1621308058	SRR5004506	17833318	4493996136
SRP092896	SRX2336343	GSM2386095: Xoo KACC10331, in planta, rep2; Xanthomonas oryzae pv. oryzae KACC 10331; RNA-Seq	291331	Xanthomonas oryzae pv. oryzae KACC 10331	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS1789825	GSM2386095	Illumina HiSeq 2000	21466176	1964109816	SRR5004505	21466176	5409476352
SRP092896	SRX2336342	GSM2386094: Xoo KACC10331, in planta, rep1; Xanthomonas oryzae pv. oryzae KACC 10331; RNA-Seq	291331	Xanthomonas oryzae pv. oryzae KACC 10331	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS1789824	GSM2386094	Illumina HiSeq 2000	24937253	2267096065	SRR5004504	24937253	6284187756
SRP092652	SRX2330439	JS72	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785552	JS72	Illumina HiSeq 2500	3704693	378493224	SRR4995619	3704693	926173250
SRP092652	SRX2330438	YN03-11	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785488	YN03-11	Illumina HiSeq 2500	3501588	360101490	SRR4995618	3501588	875397000
SRP092652	SRX2330437	GD412	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785637	GD412	Illumina HiSeq 2500	5454765	506654329	SRR4995617	5454765	1363691250
SRP092652	SRX2330436	AH11	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785636	AH11	Illumina HiSeq 2500	7151426	660802071	SRR4995616	7151426	1787856500
SRP092652	SRX2330435	LYG03-07	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785526	LYG03-07	Illumina HiSeq 2500	3292508	342429993	SRR4995615	3292508	823127000
SRP092652	SRX2330434	LN1	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785638	LN1	Illumina HiSeq 2500	6344678	757001361	SRR4995614	6344678	1903403400
SRP092652	SRX2330433	HB-84-17	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785498	HB-84-17	Illumina HiSeq 2500	1296158	126557368	SRR4995613	1296158	324039500
SRP092652	SRX2330432	YN03-15	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785635	YN03-15	Illumina HiSeq 2500	4971498	507975660	SRR4995612	4971498	1242874500
SRP092652	SRX2330431	OS70	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785634	OS70	Illumina HiSeq 2500	4902874	475854300	SRR4995611	4902874	1225718500
SRP092652	SRX2330430	OS225	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785633	OS225	Illumina HiSeq 2500	9172972	851505191	SRR4995610	9172972	2293243000
SRP092652	SRX2330429	HeN03-10	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785632	HeN03-10	Illumina HiSeq 2500	4552295	438313603	SRR4995609	4552295	1138073750
SRP092652	SRX2330428	YN03-02	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785631	YN03-02	Illumina HiSeq 2500	3863330	395532259	SRR4995608	3863330	965832500
SRP092652	SRX2330427	DBX0017	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785630	DBX0017	Illumina HiSeq 2500	5176018	610408573	SRR4995607	5176018	1552805400
SRP092652	SRX2330426	LN01	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785628	LN01	Illumina HiSeq 2500	4899495	583471055	SRR4995606	4899495	1469848500
SRP092652	SRX2330425	OS181	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785629	OS181	Illumina HiSeq 2500	3715569	361397673	SRR4995605	3715569	928892250
SRP092652	SRX2330424	YN19	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785627	YN19	Illumina HiSeq 2500	3859361	393932269	SRR4995604	3859361	964840250
SRP092652	SRX2330423	2	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785626	2	Illumina HiSeq 2500	6533650	597009170	SRR4995603	6533650	1633412500
SRP092652	SRX2330422	JL13	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785624	JL13	Illumina HiSeq 2500	5446255	553633968	SRR4995602	5446255	1361563750
SRP092652	SRX2330421	DBX0013	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785625	DBX0013	Illumina HiSeq 2500	5182147	608487800	SRR4995601	5182147	1554644100
SRP092652	SRX2330420	OS48	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785623	OS48	Illumina HiSeq 2500	6499462	624582798	SRR4995600	6499462	1624865500
SRP092652	SRX2330419	ScYc-a	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785622	ScYc-a	Illumina HiSeq 2500	4304894	442934047	SRR4995599	4304894	1076223500
SRP092652	SRX2330418	HuN36	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785499	HuN36	Illumina HiSeq 2500	3496380	341874970	SRR4995598	3496380	874095000
SRP092652	SRX2330417	YN38	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785517	YN38	Illumina HiSeq 2500	3692647	378837848	SRR4995597	3692647	923161750
SRP092652	SRX2330416	HuN33	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785514	HuN33	Illumina HiSeq 2500	3657886	361004967	SRR4995596	3657886	914471500
SRP092652	SRX2330415	HB-84-21	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785606	HB-84-21	Illumina HiSeq 2500	2705913	279416422	SRR4995595	2705913	676478250
SRP092652	SRX2330414	YN20	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785621	YN20	Illumina HiSeq 2500	3756857	379729517	SRR4995594	3756857	939214250
SRP092652	SRX2330413	SX-85-73	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785620	SX-85-73	Illumina HiSeq 2500	4287932	435023555	SRR4995593	4287932	1071983000
SRP092652	SRX2330412	GX09	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785619	GX09	Illumina HiSeq 2500	6298819	579673779	SRR4995592	6298819	1574704750
SRP092652	SRX2330411	OS182	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785618	OS182	Illumina HiSeq 2500	5692676	544673937	SRR4995591	5692676	1423169000
SRP092652	SRX2330410	ZJ25	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785616	ZJ25	Illumina HiSeq 2500	6177355	566095018	SRR4995590	6177355	1544338750
SRP092652	SRX2330409	GX49	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785617	GX49	Illumina HiSeq 2500	7137006	654240191	SRR4995589	7137006	1784251500
SRP092652	SRX2330408	OS185	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785615	OS185	Illumina HiSeq 2500	4248062	408426683	SRR4995588	4248062	1062015500
SRP092652	SRX2330407	JL17	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785614	JL17	Illumina HiSeq 2500	5942056	710039389	SRR4995587	5942056	1782616800
SRP092652	SRX2330406	AH3	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785588	AH3	Illumina HiSeq 2500	2139151	215453214	SRR4995586	2139151	534787750
SRP092652	SRX2330405	PXO79	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785613	PXO79	Illumina HiSeq 2500	5604593	587427320	SRR4995585	5604593	1401148250
SRP092652	SRX2330404	HUN20	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785612	HUN20	Illumina HiSeq 2500	5595302	675130456	SRR4995584	5595302	1676670756
SRP092652	SRX2330403	HuN39	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785611	HuN39	Illumina HiSeq 2500	4499390	472294398	SRR4995583	4499390	1124847500
SRP092652	SRX2330402	YN03-09	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785592	YN03-09	Illumina HiSeq 2500	2435895	233913947	SRR4995582	2435895	608973750
SRP092652	SRX2330401	JS158-2	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785610	JS158-2	Illumina HiSeq 2500	6894929	635752718	SRR4995581	6894929	1723732250
SRP092652	SRX2330400	XZ42	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785608	XZ42	Illumina HiSeq 2500	6906967	775448913	SRR4995580	6906967	2050987080
SRP092652	SRX2330399	PXO61	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785609	PXO61	Illumina HiSeq 2500	4534162	471236924	SRR4995579	4534162	1133540500
SRP092652	SRX2330398	YN23	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785607	YN23	Illumina HiSeq 2500	5057279	529156343	SRR4995578	5057279	1264319750
SRP092652	SRX2330397	HB-84-21	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785606	HB-84-21	Illumina HiSeq 2500	1622476	161234252	SRR4995577	1622476	405619000
SRP092652	SRX2330396	AH40	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785605	AH40	Illumina HiSeq 2500	5898691	619716094	SRR4995576	5898691	1474672750
SRP092652	SRX2330395	LYG03-02	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785604	LYG03-02	Illumina HiSeq 2500	3870295	405578934	SRR4995575	3870295	967573750
SRP092652	SRX2330394	JS69	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785472	JS69	Illumina HiSeq 2500	2081718	203050357	SRR4995574	2081718	520429500
SRP092652	SRX2330393	JX19	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785603	JX19	Illumina HiSeq 2500	5367160	540429445	SRR4995573	5367160	1341790000
SRP092652	SRX2330392	LYG03-04	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785431	LYG03-04	Illumina HiSeq 2500	1158771	123113757	SRR4995572	1158771	289692750
SRP092652	SRX2330391	HN-84-35	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785583	HN-84-35	Illumina HiSeq 2500	3486216	359198214	SRR4995571	3486216	871554000
SRP092652	SRX2330390	XZ44	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785602	XZ44	Illumina HiSeq 2500	5787932	727757116	SRR4995570	5787932	1736379600
SRP092652	SRX2330389	YN03-23	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785457	YN03-23	Illumina HiSeq 2500	3687754	384033036	SRR4995569	3687754	921938500
SRP092652	SRX2330388	HLJ85-69	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785601	HLJ85-69	Illumina HiSeq 2500	6411164	584789315	SRR4995568	6411164	1602791000
SRP092652	SRX2330387	HuN03-02	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785493	HuN03-02	Illumina HiSeq 2500	3097206	317414510	SRR4995567	3097206	774301500
SRP092652	SRX2330386	JL1	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785599	JL1	Illumina HiSeq 2500	5578512	683990701	SRR4995566	5578512	1673553600
SRP092652	SRX2330385	OS166	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785600	OS166	Illumina HiSeq 2500	6442653	625801186	SRR4995565	6442653	1610663250
SRP092652	SRX2330384	JL33	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785597	JL33	Illumina HiSeq 2500	5340398	545985633	SRR4995564	5340398	1335099500
SRP092652	SRX2330383	PXO112	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785598	PXO112	Illumina HiSeq 2500	5934779	708611855	SRR4995563	5934779	1780433700
SRP092652	SRX2330382	YN03-13	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785401	YN03-13	Illumina HiSeq 2500	2323949	229530277	SRR4995562	2323949	580987250
SRP092652	SRX2330381	YN5	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785390	YN5	Illumina HiSeq 2500	1354491	141681330	SRR4995561	1354491	338622750
SRP092652	SRX2330380	HEN12	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785582	HEN12	Illumina HiSeq 2500	1877754	200828493	SRR4995560	1877754	469438500
SRP092652	SRX2330379	FJ17	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785596	FJ17	Illumina HiSeq 2500	4172586	428544566	SRR4995559	4172586	1043146500
SRP092652	SRX2330378	GX07	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785595	GX07	Illumina HiSeq 2500	3913863	402906210	SRR4995558	3913863	978465750
SRP092652	SRX2330377	OS15	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785594	OS15	Illumina HiSeq 2500	7962132	774634590	SRR4995557	7962132	1990533000
SRP092652	SRX2330376	LYG03-03	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785553	LYG03-03	Illumina HiSeq 2500	3341602	326397115	SRR4995556	3341602	835400500
SRP092652	SRX2330375	DBX0023	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785593	DBX0023	Illumina HiSeq 2500	5550916	648551463	SRR4995555	5550916	1665274800
SRP092652	SRX2330374	YN03-09	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785592	YN03-09	Illumina HiSeq 2500	3721405	382972989	SRR4995554	3721405	930351250
SRP092652	SRX2330373	LN8547	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785591	LN8547	Illumina HiSeq 2500	3964186	410345374	SRR4995553	3964186	991046500
SRP092652	SRX2330372	YN03-06	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS1785590	YN03-06	Illumina HiSeq 2500	3932956	405104810	SRR4995552	3932956	983239000
